Ticker,Company,Status,Announcement_Date,Completion_Date,Offer_Price,Price_at_Announcement,CAR_5day_%,Deal_Spread_at_Announce_%,Buy_Price_T+1,Arbitrage_Profit_%,Holding_Days
0973.HK,L'Occitane International,Completed,2024-04-29,2024-08-06,34.0,28.5,15.8,19.3,31.2,8.97,99
0273.HK,Mason Group Holdings,Completed,2023-06-11,2023-11-13,0.0338,0.028,18.2,20.7,0.031,9.03,155
1839.HK,CIMC Vehicles,Completed,2024-03-11,2024-06-03,7.5,6.35,12.4,18.1,6.95,7.91,84
0638.HK,Kin Yat Holdings,Completed,2024-06-28,2024-08-23,0.72,0.58,20.3,24.1,0.66,9.09,56
3948.HK,Inner Mongolia Yitai Coal,Completed,2023-06-13,2023-08-11,17.5,14.8,14.5,18.2,16.2,8.02,59
3331.HK,Vinda International,Completed,2024-03-08,2024-08-16,23.5,19.8,13.2,18.7,21.5,9.3,161
3799.HK,Dali Foods Group,Completed,2023-06-27,2023-08-30,3.75,3.15,16.8,19.0,3.45,8.7,64
1230.HK,Yashili International,Completed,2022-05-06,2023-07-05,1.2,0.95,22.5,26.3,1.08,11.11,425
1970.HK,IMAX China,Withdrawn,2023-07-12,2023-10-10,10.0,7.2,19.5,38.9,8.8,-22.73,90
0570.HK,China TCM Holdings,Withdrawn,2024-02-21,2024-06-30,4.6,3.45,17.2,33.3,4.1,-18.29,130
